cliente_id,region,experiencia_digital,satisfaccion_servicio,ingreso_anual_soles,gasto_mensual_soles,ratio_deuda,indice_ahorro,clase
CLI-01728,Junín,Bajo,Alta,35235.6,1819.16,0.02,0.8224,Clase_B_riesgo_medio
CLI-00982,La Libertad,Bajo,Baja,42260.47,2441.33,0.4725,0.3013,Clase_C_alto_riesgo
CLI-01611,Piura,Medio,Muy baja,73952.4,4209.44,0.5742,0.3789,Clase_B_riesgo_medio
CLI-00773,Lima,Alto,Media,76510.39,3539.38,0.1262,0.7369,Clase_A_bajo_riesgo
CLI-01069,Lima,Bajo,Baja,85832.31,3536.46,0.4723,0.3765,Clase_C_alto_riesgo
CLI-01766,Lima,Medio,Muy alta,85595.77,3867.0,0.2293,0.7625,Clase_A_bajo_riesgo
CLI-01941,Lima,Alto,Baja,44293.43,2123.42,0.4667,0.4589,Clase_C_alto_riesgo
CLI-00725,Cusco,Medio,Muy baja,24818.84,1721.12,0.5667,0.2421,Clase_C_alto_riesgo
CLI-00465,Junín,Medio,Media,23582.84,1068.66,0.2169,0.6884,Clase_A_bajo_riesgo
CLI-01650,La Libertad,Muy alto,Alta,90028.86,4657.23,0.0892,0.785,Clase_A_bajo_riesgo
CLI-01770,Lima,Bajo,Muy baja,46196.11,2067.81,0.4348,0.5234,Clase_C_alto_riesgo
CLI-01383,Junín,Bajo,Media,28416.53,1524.74,0.5036,0.3884,Clase_C_alto_riesgo
CLI-01366,Lima,Medio,Muy alta,110031.8,5496.93,0.1071,0.7807,Clase_A_bajo_riesgo
CLI-00894,Lima,Medio,Alta,53577.02,2720.61,0.02,0.7936,Clase_A_bajo_riesgo
CLI-01037,Lima,Medio,Alta,20190.48,945.91,0.0974,0.8748,Clase_B_riesgo_medio
CLI-00051,Junín,Medio,Media,70414.29,2892.17,0.1508,0.6604,Clase_B_riesgo_medio
CLI-00932,Piura,Alto,Alta,51164.56,2481.39,0.119,0.875,Clase_A_bajo_riesgo
CLI-00652,Arequipa,Medio,Alta,68057.18,2912.78,0.2799,0.755,Clase_B_riesgo_medio
CLI-00881,Lima,Medio,Media,49589.08,2692.5,0.4264,0.3997,Clase_B_riesgo_medio
